DateSubmitted,SubmissionId,TeamId,UserName,TeamName,IsSelected,PublicScore,PrivateScore,Average
17/08/2024 6:52,39566159,12506023,julialiewhy,Grp5 :),FALSE,0.630952381,0.775,0.70297619
17/08/2024 6:51,39566142,12506023,julialiewhy,Grp5 :),FALSE,0.654761905,0.75,0.702380952
17/08/2024 6:44,39566093,12506023,julialiewhy,Grp5 :),FALSE,0.625,0.725,0.675
17/08/2024 4:56,39565304,12506458,yuyangmars,On Your Mark ,TRUE,0.80952381,0.525,0.667261905
17/08/2024 6:30,39566004,12506458,yuyangmars,On Your Mark ,TRUE,0.80952381,0.525,0.667261905
17/08/2024 6:34,39566040,12506458,yuyangmars,On Your Mark ,FALSE,0.80952381,0.525,0.667261905
17/08/2024 6:42,39566085,12506023,julialiewhy,Grp5 :),FALSE,0.613095238,0.7,0.656547619
17/08/2024 6:55,39566177,12506023,julialiewhy,Grp5 :),FALSE,0.613095238,0.7,0.656547619
17/08/2024 5:49,39565677,12506025,richardlr03,Richardlr,FALSE,0.726190476,0.575,0.650595238
17/08/2024 6:46,39566110,12506023,julialiewhy,Grp5 :),FALSE,0.601190476,0.7,0.650595238
17/08/2024 6:21,39565928,12506014,edwardwidjaja,Team 0ne,FALSE,0.55952381,0.7,0.629761905
17/08/2024 6:01,39565747,12506009,minhqunnguyen,Group 8,FALSE,0.654761905,0.575,0.614880952
17/08/2024 6:27,39565981,12506009,minhqunnguyen,Group 8,FALSE,0.678571429,0.55,0.614285714
17/08/2024 5:59,39565732,12506465,ngyeecheng,Ng Yee Cheng,FALSE,0.720238095,0.5,0.610119048
17/08/2024 6:03,39565762,12506465,ngyeecheng,Ng Yee Cheng,FALSE,0.738095238,0.475,0.606547619
17/08/2024 5:53,39565705,12506465,ngyeecheng,Ng Yee Cheng,FALSE,0.68452381,0.525,0.604761905
17/08/2024 6:00,39565746,12506465,ngyeecheng,Ng Yee Cheng,FALSE,0.702380952,0.5,0.601190476
17/08/2024 6:17,39565895,12506016,keruiyang,kerui yang,FALSE,0.642857143,0.55,0.596428571
17/08/2024 6:04,39565776,12506023,stephanielu2024,Grp5 :),FALSE,0.56547619,0.625,0.595238095
17/08/2024 6:31,39566017,12506009,minhqunnguyen,Group 8,FALSE,0.660714286,0.525,0.592857143
17/08/2024 4:38,39565207,12506015,pwintshweyioo,Pwint Shwe Yi Oo,FALSE,0.583333333,0.6,0.591666667
17/08/2024 6:41,39566076,12506023,julialiewhy,Grp5 :),FALSE,0.583333333,0.6,0.591666667
17/08/2024 5:46,39565654,12506465,ngyeecheng,Ng Yee Cheng,FALSE,0.702380952,0.475,0.588690476
17/08/2024 6:02,39565759,12506023,stephanielu2024,Grp5 :),FALSE,0.535714286,0.625,0.580357143
17/08/2024 5:52,39565692,12506465,ngyeecheng,Ng Yee Cheng,FALSE,0.68452381,0.475,0.579761905
17/08/2024 5:44,39565643,12506025,richardlr03,Richardlr,FALSE,0.5,0.65,0.575
17/08/2024 5:57,39565722,12506465,ngyeecheng,Ng Yee Cheng,FALSE,0.666666667,0.475,0.570833333
17/08/2024 5:03,39565351,12506023,annhnnguynv,Grp5 :),FALSE,0.636904762,0.5,0.568452381
17/08/2024 5:45,39565644,12506465,ngyeecheng,Ng Yee Cheng,FALSE,0.68452381,0.45,0.567261905
17/08/2024 6:21,39565932,12506004,jeyasrisundar,Jeyasri Sundar,FALSE,0.583333333,0.55,0.566666667
17/08/2024 5:11,39565405,12506465,ngyeecheng,Ng Yee Cheng,FALSE,0.630952381,0.5,0.56547619
17/08/2024 6:21,39565930,12506007,earlygreyaosfdag,Lauren cronin,FALSE,0.505952381,0.625,0.56547619
17/08/2024 4:30,39565163,12506011,nathancavenor,Nathan Cavenor,FALSE,0.553571429,0.575,0.564285714
17/08/2024 6:21,39565931,12506008,wyan0539,wyan0539,FALSE,0.625,0.5,0.5625
17/08/2024 6:30,39565999,12506008,wyan0539,wyan0539,FALSE,0.625,0.5,0.5625
17/08/2024 6:30,39566001,12506020,imasha04,Imasha04,FALSE,0.625,0.5,0.5625
17/08/2024 5:03,39565353,12506015,pwintshweyioo,Pwint Shwe Yi Oo,FALSE,0.547619048,0.575,0.561309524
17/08/2024 4:51,39565273,12506012,yeechengng,GuessOurGroupNumber,FALSE,0.595238095,0.525,0.560119048
17/08/2024 5:13,39565416,12506465,ngyeecheng,Ng Yee Cheng,FALSE,0.666666667,0.45,0.558333333
17/08/2024 5:09,39565396,12506465,ngyeecheng,Ng Yee Cheng,FALSE,0.613095238,0.5,0.556547619
17/08/2024 5:28,39565512,12506009,minhqunnguyen,Group 8,FALSE,0.68452381,0.425,0.554761905
17/08/2024 6:55,39566173,12506009,minhqunnguyen,Group 8,FALSE,0.68452381,0.425,0.554761905
17/08/2024 5:41,39565614,12506465,ngyeecheng,Ng Yee Cheng,FALSE,0.68452381,0.425,0.554761905
17/08/2024 6:09,39565824,12506023,stephanielu2024,Grp5 :),FALSE,0.529761905,0.575,0.552380952
17/08/2024 3:48,39564943,12506012,astonk,GuessOurGroupNumber,FALSE,0.547619048,0.55,0.548809524
17/08/2024 3:56,39564974,12506023,harshm08,Grp5 :),FALSE,0.547619048,0.55,0.548809524
17/08/2024 5:34,39565558,12506023,harshm08,Grp5 :),FALSE,0.547619048,0.55,0.548809524
17/08/2024 5:52,39565693,12506023,stephanielu2024,Grp5 :),FALSE,0.547619048,0.55,0.548809524
17/08/2024 6:27,39565978,12506016,keruiyang,kerui yang,FALSE,0.511904762,0.575,0.543452381
17/08/2024 6:21,39565926,12506004,jeyasrisundar,Jeyasri Sundar,FALSE,0.583333333,0.5,0.541666667
17/08/2024 6:22,39565939,12506020,imasha04,Imasha04,FALSE,0.583333333,0.5,0.541666667
17/08/2024 6:22,39565940,12506008,wyan0539,wyan0539,FALSE,0.583333333,0.5,0.541666667
